G4,G7,G14,G19,S1,S2,S3,S4,S8
1,5,-1.80028,3,10.5816,1864.16,2148.29,3603.1,0.123885
1,5,-2.17267,0,10.0171,1148.3,1821.91,2897.29,0.179139
2,5,-2.64385,0,10.0803,782.773,1906.81,2541.74,0.222267
1,3,-1.86514,0,11.3486,992.134,2238.52,3096.13,0.215507
1,4,-0.847447,3,10.0222,1538.3,1898.87,2917.07,0.105921
6,9,1.47847,6,10.5233,1063.65,2587.34,3144.87,0.196545
1,4,-2.66809,0,10.6344,982.358,1945.71,2722.78,0.187473
1,3,-2.53801,0,9.92901,691.286,1651.84,2203.4,0.217913
1,5,-1.60525,3,10.4846,1568.13,2280.37,2955.63,0.0880902
2,6,-2.1971,0,9.97277,690.022,1499.59,2118.72,0.213471
1,2,-1.61379,0,10.8126,855.169,1675.36,2386.49,0.190793
1,5,-1.26646,3,11.7177,1165.68,2541.05,3004.84,0.162937
5,8,0.360995,5,10.2295,1397.87,1881.96,2801.38,0.11427
1,4,-2.80795,0,9.50467,1058.26,1922.3,2823.66,0.182811
8,10,2.16823,6,10.2268,1242.6,1977.95,2753.58,0.131357
2,4,-0.272746,3,10.379,404.667,1592.34,1776.87,0.284088
1,5,-2.78629,3,11.9918,2091.45,3759.08,4066.61,0.0966951
1,4,-2.13099,4,11.6577,1587.53,2551.73,3245.22,0.106285
1,4,-1.45713,3,10.379,1195.4,1948.17,2732.83,0.139689
4,9,-1.31782,5,16.4609,2419.38,9711.44,11263.1,0.29467
4,7,-1.22157,5,18.7266,1566.48,8081.52,8801.18,0.328126
4,7,-1.01545,5,13.0529,2175.03,3776.74,5165.73,0.147103
4,7,-1.27906,5,13.7982,2288.44,4549.17,5961.06,0.167511
4,7,0.0501577,5,15.1489,1590.78,4102.74,5016.64,0.212012
1,4,-1.83474,3,9.57635,1542.5,1950.28,2620.13,0.0680671
1,4,-1.9817,3,9.7935,1811.67,1988.18,3006.01,0.0766267
3,5,-4.97761,1,11.9862,1796.8,3312.72,4478.88,0.158356
4,7,-3.77603,2,11.9812,2974.69,4136.68,6219.12,0.125414
1,5,-1.19406,3,10.287,1590.71,1784.11,2863.45,0.101426
4,7,-0.692103,5,12.5919,1545.54,2942.42,3743.42,0.148118
0,3,-6.79975,0,16.7975,2157.9,12526.3,14234.8,0.351837
1,2,-5.6222,0,16.3629,1070.62,10259.9,10893.7,0.40282
0,3,-6.23586,0,16.9896,1495.31,13069,14014.6,0.394616
0,4,-5.90188,0,17.4747,1422.87,12336.3,13201.9,0.393605
1,4,-5.34127,0,17.0969,1144.09,11059.1,11656.4,0.403055
0,2,-3.51575,0,14.0105,427.597,4086.34,4404.72,0.403848
0,3,-1.90777,0,12.4604,260.746,2448.3,2596.64,0.400782
0,3,-5.09569,0,16.0733,1016.35,9823.52,10110.7,0.40137
0,2,-4.50379,0,16.2034,541.003,6523.36,7057.96,0.423827
0,4,-5.78882,2,16.4059,1522.19,10242.7,11328.8,0.368033
0,3,-6.18197,0,16.8105,1154.78,10911.4,12063,0.405228
0,5,-6.64911,0,18.0282,1467.4,16299.6,16566.4,0.413115
1,5,-2.82754,0,14.0068,465.57,5955.66,6418.04,0.427865
1,6,-0.645486,3,11.2664,793.14,2402.31,2782.82,0.2366
1,5,-2.33167,3,11.3811,1721.86,2760.3,3969.09,0.144082
1,5,-2.35227,3,11.2889,1962.8,2350.35,4013.5,0.139722
1,4,-1.54982,3,10.2871,1762.7,2177.2,3005.57,0.0711678
1,5,-1.99564,3,11.2664,1448.97,2560.18,3039.94,0.111654
1,5,-2.19044,3,11.2664,1686.68,2783.78,3053.18,0.0789195
2,4,-2.31497,2,10.3287,618.438,1931.6,2312.93,0.250503
1,3,-4.04471,2,10.4333,1724.1,2481.08,3636.48,0.124488
2,4,-3.98773,2,10.4339,1853.23,2696.33,3869.99,0.119845
2,5,-4.2156,2,11.2836,2097.26,3246.29,4383.6,0.114794
1,5,-4.44908,2,10.6509,2081.87,3222.46,4354.43,0.115008
1,3,-1.83907,2,10.0161,858.558,1655.33,2111.42,0.152012
2,5,-2.00614,2,10.3441,1101.67,2298.41,2737.66,0.153725
2,5,-1.79182,2,12.2803,946.257,2799.66,3248.35,0.231681
1,5,-2.49592,3,13.3359,2165.16,3435.86,5122.78,0.15453
1,5,-3.32417,3,15.68,2218.57,5835.48,7554.74,0.231719
1,5,-1.61851,4,11.2664,1025.83,2412.2,2995.96,0.193862
1,5,-2.10721,4,11.3037,1266.66,2625.5,3370.7,0.171928
2,5,-1.63387,3,11.2664,890.804,2262.59,2742.07,0.206186
1,5,-2.10677,4,11.247,1280.17,2641.16,3316.77,0.164576
1,5,-2.70954,3,11.68,1787.51,2805.35,3858.35,0.123945
3,5,-3.62058,0,12.7722,392.2,3610.32,3880.13,0.399997
3,5,-3.34841,0,12.7063,481.438,3183.88,3578.05,0.367859
4,7,-3.04614,3,11.9624,2776.44,4336.72,6356.62,0.144438
3,5,-5.69004,1,13.3399,3935.62,5886.99,8141.05,0.114129
4,6,-3.02743,2,11.937,2903.89,3411.15,5804.62,0.133926
4,6,-3.19664,1,11.937,3415.04,3560.78,6111.58,0.111837
3,5,-3.78573,1,11.937,2857.15,3539.3,6066.67,0.149179
1,4,-1.45713,3,9.8141,1344.21,1883.19,2384.71,0.0735804
1,4,-0.829317,3,10.3004,1106.03,1733.34,2329.6,0.116324
1,4,-1.46014,3,10.272,1364.45,2057.07,2954.26,0.128609
1,4,-1.92794,3,10.7332,1389.16,2499.82,3429.22,0.156963
1,4,-2.48573,3,15.1826,1236.64,5096.82,5795.98,0.296049
1,4,-3.52767,4,14.5663,2070.39,4904.01,5528.75,0.172996
1,4,-4.30289,3,21.1186,1441.82,17332.7,17844.4,0.420201
1,4,-1.84237,4,11.1045,2162.14,2327.18,3515.94,0.0728912
1,4,-2.36693,4,12.1167,2434.48,3145.95,4079.93,0.0629204
1,4,-1.78261,3,11.3581,1923.51,3507.9,4965.89,0.170811
1,5,-1.85002,3,10.9805,1683.95,2964.06,3279.28,0.0957122
1,5,-1.32546,3,9.96478,1364.42,2162.74,2688.83,0.0968904
4,7,-0.115305,6,12.6313,1596.25,2939.14,3804.21,0.144723
5,9,-1.31949,5,13.5715,2357.52,4922.3,6421.39,0.178401
1,3,-1.29531,3,10.0155,1289.7,1829.73,2641.63,0.115873
1,3,-2.54766,3,11.3928,1500.68,2785.27,3736.55,0.157567
1,3,-1.69308,3,11.2486,1340.09,2284.91,3128.32,0.142886
1,3,-2.52155,3,13.7083,1356.3,3666.73,4500.53,0.223971
1,3,-1.85354,5,9.97841,1437.35,2140.6,2919.9,0.108733
2,4,-1.27631,4,10.1413,1710.18,2041.36,3121.24,0.0970331
1,3,-1.32124,3,11.549,1392.58,2238.53,3116.97,0.133832
1,3,-1.99935,3,11.9013,1239.95,2695.54,3283.41,0.169527
1,3,-1.23948,3,10.2972,1527.36,1671.49,2679.14,0.0960108
1,3,-0.841462,3,10.286,1296.75,1643.42,2494.34,0.107435
1,4,-3.31397,3,17.6742,1259.22,8072.03,8775.99,0.359665
1,4,-1.19419,4,10.5496,1102.01,1810.17,2364.95,0.119212
1,4,-3.56852,4,11.5728,2084.98,3412.65,3862.82,0.0829072
1,4,-1.76611,3,12.3681,1503.87,2557.95,3232.84,0.118298
10,12,-8.24124,8,18.4308,11257.3,20020,22623.1,0.102346
